taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX
catalyst swarm,1,Operations,"Translate CIP 1694 into Indonesia - Earn 200 Ada 200Gimbal & 200 AGIX",00hmsn,200,200,200,,,
catalyst swarm,2,Content Creation,"Read & Share your thoughts - CIP 1694 - 10 Ada 10AGIX & 10 Gimbal",32a6x7,10,20,10,,,
catalyst swarm,3,Content Creation,"Tweet about CIP 1694 - 5 Ada 5 AGIX & 10 Gimbal",32a6x7,5,20,5,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",es9727,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",l4c8qw,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",gvx6ky,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",73kr9t,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",8tfxl3,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",89fnj0,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",zv0r6s,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",pg9ffw,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",ulp9am,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",32a6x7,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",lappa6,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",9p4mch,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",6l0mlk,2,10,2,,,
catalyst swarm,4,Onboarding,"Join MESHJS Dework Space - Earn 2 Ada 2 AGIX & 2Gimbal",dg65jx,2,10,2,,,
catalyst swarm,5,timestamping - Content Creation,"Timestamp the [F10] Mini Proposal Workshop: IntroducingDaoLens - Earn 25 Ada 25 Agix 100 Gimbals",ya5t5l,25,100,25,,,
catalyst swarm,6,Operations,"Sign up at Consenz - CIP 1694 - 5 ada 5 AGIX & 20Gimbal",wv2mhm,5,20,5,,,
catalyst swarm,6,Operations,"Sign up at Consenz - CIP 1694 - 5 ada 5 AGIX & 20Gimbal",6lcdjr,5,20,5,,,
catalyst swarm,6,Operations,"Sign up at Consenz - CIP 1694 - 5 ada 5 AGIX & 20Gimbal",t65ffu,5,20,5,,,
catalyst swarm,6,Operations,"Sign up at Consenz - CIP 1694 - 5 ada 5 AGIX & 20Gimbal",fu9paa,5,20,5,,,
catalyst swarm,6,Operations,"Sign up at Consenz - CIP 1694 - 5 ada 5 AGIX & 20Gimbal",d3jfmz,5,20,5,,,
catalyst swarm,6,Operations,"Sign up at Consenz - CIP 1694 - 5 ada 5 AGIX & 20Gimbal",h2hc92,5,20,5,,,
catalyst swarm,6,Operations,"Sign up at Consenz - CIP 1694 - 5 ada 5 AGIX & 20Gimbal",c70dqg,5,20,5,,,
catalyst swarm,6,Operations,"Sign up at Consenz - CIP 1694 - 5 ada 5 AGIX & 20Gimbal",tgd8fg,5,20,5,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",3qz0k2,,200,2,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",rcgctj,,200,2,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",ex7942,,200,2,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",lrs3kj,,200,2,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",9qgazv,,200,2,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",j99kct,,200,2,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",t65ffu,,200,2,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",g8glkf,,200,2,,,
catalyst swarm,7,Community Communication,"11.03.23 - Join Saturday Swarm Session - Earn 100GMBL",u7ywg4,,200,2,,,
catalyst swarm,8,timestamping - Content Creation,"Timestamp the [F10] Mini Proposal Workshop: Deciding onsolution component - Earn 25 Ada 25 Agix 100 Gimbals",ya5t5l,25,100,25,,,
catalyst swarm,9,Content Creation,"Post a message on Catalyst Community Discord - 2 Ada 2AGIX & 5 Gimbal",shgdhq,2,5,2,,,
catalyst swarm,9,Content Creation,"Post a message on Catalyst Community Discord - 2 Ada 2AGIX & 5 Gimbal",fu9paa,2,5,2,,,
catalyst swarm,9,Content Creation,"Post a message on Catalyst Community Discord - 2 Ada 2AGIX & 5 Gimbal",ht0jjj,2,5,2,,,
catalyst swarm,9,Content Creation,"Post a message on Catalyst Community Discord - 2 Ada 2AGIX & 5 Gimbal",wv2mhm,2,5,2,,,
catalyst swarm,9,Content Creation,"Post a message on Catalyst Community Discord - 2 Ada 2AGIX & 5 Gimbal",sh8upr,2,5,2,,,
catalyst swarm,9,Content Creation,"Post a message on Catalyst Community Discord - 2 Ada 2AGIX & 5 Gimbal",t65ffu,2,5,2,,,
catalyst swarm,9,Content Creation,"Post a message on Catalyst Community Discord - 2 Ada 2AGIX & 5 Gimbal",c70dqg,2,5,2,,,
catalyst swarm,9,Content Creation,"Post a message on Catalyst Community Discord - 2 Ada 2AGIX & 5 Gimbal",lrs3kj,2,5,2,,,
catalyst swarm,10,Operations,"Catalyst Swarm Veteran Call - March 13th - 100 Gimbal",n7qgup,,100,2,,,
catalyst swarm,10,Operations,"Catalyst Swarm Veteran Call - March 13th - 100 Gimbal",9qgazv,,100,2,,,
catalyst swarm,10,Operations,"Catalyst Swarm Veteran Call - March 13th - 100 Gimbal",f0qnsw,,100,2,,,
catalyst swarm,10,Operations,"Catalyst Swarm Veteran Call - March 13th - 100 Gimbal",ptetnl,,100,2,,,
catalyst swarm,10,Operations,"Catalyst Swarm Veteran Call - March 13th - 100 Gimbal",rcgctj,,100,2,,,
catalyst swarm,10,Operations,"Catalyst Swarm Veteran Call - March 13th - 100 Gimbal",u7ywg4,,100,2,,,
catalyst swarm,10,Operations,"Catalyst Swarm Veteran Call - March 13th - 100 Gimbal",dpy3c6,,100,2,,,
catalyst swarm,11,Documentation - Content Creation,"Created Close Out Report Video",rcgctj,,700,2,,,
catalyst swarm,12,Operations - Documentation - Content Creation,"Create Close-Out Report for Funded Proposal: CatalystSwarm & SingularityNET 900059 - 400 Gimbal",u7ywg4,,400,2,,,
catalyst swarm,12,Operations - Documentation - Content Creation,"Create Close-Out Report for Funded Proposal: CatalystSwarm & SingularityNET 900059 - 400 Gimbal",f0qnsw,,400,2,,,
catalyst swarm,12,Operations - Documentation - Content Creation,"Create Close-Out Report for Funded Proposal: CatalystSwarm & SingularityNET 900059 - 400 Gimbal",rcgctj,,400,2,,,
catalyst swarm,13,Tool development,"Tool Development - Treasury Manager Updates 12.03-13.03",rcgctj,,325,2,,,
catalyst swarm,14,Tool development,"Add Transaction feature to dashboard",jnaxjp,,1300,2,,,
catalyst swarm,15,Operations - Community Communication,"Distribution questions and feedback",rcgctj,,200,2,,,
catalyst swarm,16,Operations - Community Communication,"Weekly Call - Swarm & Treasury Guild - March 7 - 150Gimbal & 2 AGIX",rcgctj,,150,2,,,
catalyst swarm,16,Operations - Community Communication,"Weekly Call - Swarm & Treasury Guild - March 7 - 150Gimbal & 2 AGIX",jnaxjp,,150,2,,,
catalyst swarm,16,Operations - Community Communication,"Weekly Call - Swarm & Treasury Guild - March 7 - 150Gimbal & 2 AGIX",4mg27n,,150,2,,,
catalyst swarm,17,Operations - Community Communication,"Weekly Call - Treasury Guild Team - March 13 - 100Gimbal",jnaxjp,,100,2,,,
